TREC_Entity-18	Members of the band Jefferson Airplane
SemSearch_LS-29	nations Portuguese is an official language
INEX_XER-124	Novels that won the Booker Prize
SemSearch_LS-31	permanent members of the UN Security Council
SemSearch_LS-50	wonders of the ancient world
SemSearch_LS-38	states that border oklahoma
INEX_XER-110	Nobel Prize in Literature winners were also poets
SemSearch_LS-39	ten ancient Greek city kingdoms of Cyprus
INEX_XER-87	Axis powers of World War II
INEX_XER-119	Swiss cantons they speak German
INEX_XER-121	US presidents since 1960
TREC_Entity-4	Professional sports teams in Philadelphia
SemSearch_LS-42	twelve tribes or sons of Israel
SemSearch_LS-25	members of u2
SemSearch_LS-17	houses of the Russian parliament
INEX_XER-67	Ferris and observation wheels
SemSearch_LS-14	gods dwelt on Mount Olympus
SemSearch_LS-40	the first 13 american states
INEX_XER-138	National Parks East Coast Canada US
INEX_XER-81	Movies about English hooligans
SemSearch_LS-30	orders or choirs of angels
INEX_XER-144	chess world champions
INEX_XER-115	Formula One World Constructors Champions
TREC_Entity-14	Authors awarded an Anthony Award at Bouchercon in 2007
INEX_XER-140	Airports in Germany
SemSearch_LS-5	books of the Jewish canon
INEX_XER-88	Nordic authors are known for children literature
SemSearch_LS-13	five great epics of Tamil literature
TREC_Entity-17	Chefs with a show on the Food Network
INEX_XER-91	Paul Auster novels
SemSearch_LS-20	kublai khan siblings
TREC_Entity-16	Sponsors of the Mancuso quilt festivals
INEX_XER-136	Japanese players in Major League Baseball
TREC_Entity-1	Carriers that Blackberry makes phones for
INEX_XER-94	Hybrid cars sold in Europe
TREC_Entity-6	Organizations that award Nobel prizes
SemSearch_LS-22	major leagues in the united states
INEX_XER-106	Noble english person from the Hundred Years War
INEX_XER-73	magazines about indie music
SemSearch_LS-10	did nicole kidman have any siblings
INEX_XER-139	Films directed by Akira Kurosawa
INEX_XER-99	Computer systems that have a recursive acronym for the name
INEX_XER-143	Hanseatic league in Germany in the Netherlands Circle
INEX_XER-117	Musicians appeared in the Blues Brothers movies
INEX_XER-118	French car models in 1960s
INEX_XER-132	living nordic classical composers
SemSearch_LS-35	republics of the former Yugoslavia
TREC_Entity-5	Products of Medimmune, Inc
SemSearch_LS-9	degrees of Eastern Orthodox monasticism
SemSearch_LS-37	standard axioms of set theory
INEX_XER-97	Compilers that can compile both C and C++
INEX_XER-122	Movies with eight or more Academy Awards
SemSearch_LS-34	ratt albums
INEX_XER-63	Hugo awarded best novels
SemSearch_LS-1	Apollo astronauts walked on the Moon
SemSearch_LS-41	the four of the companions of the prophet
SemSearch_LS-11	dioceses of the church of ireland
SemSearch_LS-32	presidents depicted on mount rushmore died of shooting
SemSearch_LS-2	Arab states of the Persian Gulf
INEX_XER-64	Alan Moore graphic novels adapted to film
INEX_XER-60	olympic classes dinghy sailing
SemSearch_LS-6	boroughs of New York City
SemSearch_LS-33	provinces and territories of Canada
SemSearch_LS-12	first targets of the atomic bomb
TREC_Entity-10	Campuses of Indiana University
INEX_XER-109	National capitals situated on islands
INEX_XER-133	EU countries
SemSearch_LS-18	john lennon parents
TREC_Entity-7	Airlines that currently use Boeing 747 planes
INEX_XER-100	Operating systems to Steve Jobs related
INEX_XER-135	professional baseball team in Japan
TREC_Entity-11	Donors to the Home Depot Foundation
INEX_XER-126	toy train manufacturers that are still in business
INEX_XER-127	german female politicians
TREC_Entity-12	Airlines that Air Canada has code share flights with
INEX_XER-134	record-breaking sprinters in male 100-meter sprints
SemSearch_LS-8	continents in the world
INEX_XER-141	Universities in Catalunya
INEX_XER-98	Makers of lawn tennis rackets
INEX_XER-86	List of countries in World War Two
SemSearch_LS-26	movies starring erykah badu
SemSearch_LS-7	Branches of the US military
SemSearch_LS-36	revolutionaries of 1959 in Cuba
TREC_Entity-20	Scotch whisky distilleries on the island of Islay
INEX_XER-79	Works by Charles Rennie Mackintosh
INEX_XER-114	Formula one races in Europe
SemSearch_LS-44	languages do they speak in afghanistan
INEX_XER-129	Science fiction book written in the 1980
SemSearch_LS-21	lilly allen parents
INEX_XER-62	Neil Gaiman novels
INEX_XER-125	countries have won the FIFA world cup
INEX_XER-74	circus mammals
